Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,coppel.com,liverpool.com.mx,chedraui.com.mx,bodegaaurrera.com.mx,walmart.com.mx,coppel.com (pages),liverpool.com.mx (pages),chedraui.com.mx (pages),bodegaaurrera.com.mx (pages),walmart.com.mx (pages),Results
apple iphone 12 pro max,Informational,590,45,0.06,1.00,17,3,0,52,7,https://www.coppel.com/iphone-12-pro-max-telcel,https://www.liverpool.com.mx/tienda?s=iphone+12+pro+max//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-apple-iphone-12-pro-max-256gb/00019425201989,https://www.walmart.com.mx/search?q=iphone+12+pro+max&z=1,287000000
apple iphone x,"Informational, Transactional",590,47,0.05,0.76,13,6,0,29,9,https://www.coppel.com/iphone-10,https://www.liverpool.com.mx/tienda/?s=iphone%20x//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-x-apple-apple-de-64gb-desbloqueado/00066109433711,https://www.walmart.com.mx/ip/smartphones/smartphone-iphone-x-64gb-apple-apple-negro-a1865/00064531282145,1620000000
apple iphone xs max,"Informational, Transactional",590,46,0.06,0.77,5,4,0,28,18,https://www.coppel.com/iphone-xs-max-precio,https://www.liverpool.com.mx/tienda?s=iphone+xs+max//,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-apple-xs-max-64gb-gris/00084279704273,https://super.walmart.com.mx/ip/iphone-xs-max-apple-64-gb-gold-telcel/00750622733202,256000000
at&t iphone 14,"Navigational, Transactional",590,28,0.15,0.98,18,0,0,0,0,https://www.coppel.com/celulares-apple,,,,,73
aurrera iphone,"Informational, Transactional",590,33,0.13,1.00,24,0,0,1,54,https://www.coppel.com/equipos-celulares,,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,https://www.walmart.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,1040000
auxiliar iphone,Informational,590,34,0.03,1.00,7,0,0,0,5,https://www.coppel.com/adaptador-generico-de-audio-auxiliar-3-5mm-para-iphone-mkp-42671014,,,,https://www.walmart.com.mx/ip/accesorios-tv-y-video/cable-auxiliar-para-iphone-adaptador-de-cable-de-audio-estereo-auxiliar-compatible-con-iphone-car-home-stereo-altavoz-auriculares-blanco-/00701213223986,87
bajo epiphone,Informational,590,10,0.07,0.97,55,13,0,0,0,https://www.coppel.com/saxof%C3%B3n-alto-jupiter-jas500a-dorado-mkp-7681009n2239,https://www.liverpool.com.mx/tienda/pdp/bajo-el%C3%A9ctrico-epiphone-embassy/1127789408,,,,76
bateria celular,Informational,590,31,0.03,0.43,27,6,0,0,18,https://www.coppel.com/blog/tecnologia-entretenimiento/guia-para-cuidar-la-bateria-de-un-celular-nuevo-bcel/,https://www.liverpool.com.mx/tienda/?s=bater%C3%ADa%20port%C3%A1til%20celular,,,https://www.walmart.com.mx/search?q=bateria%20para%20celular&z=1,303000000
bateria celulares,Informational,590,32,0.03,0.43,24,5,0,43,22,https://www.coppel.com/blog/tecnologia-entretenimiento/guia-para-cuidar-la-bateria-de-un-celular-nuevo-bcel/,https://www.liverpool.com.mx/tienda/?s=bater%C3%ADa%20port%C3%A1til%20celular,,https://www.bodegaaurrera.com.mx/content/celulares/cargadores-y-baterias-portatiles/264800_264835,https://www.walmart.com.mx/search?q=bateria%20para%20celular&z=1,34500000
beneficios del celular,Informational,590,30,0.00,0.00,44,0,0,0,0,https://www.coppel.com/celulares,,,,,122000000
bodega aurrera celulares motorola,Informational,590,32,0.08,1.00,19,25,0,1,23,https://www.coppel.com/equipos-celulares,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-motorola/320061_320132_320136,https://www.walmart.com.mx/content/celulares/264800,261000
bolsa porta celular,Informational,590,22,0.06,1.00,16,2,0,0,85,https://www.coppel.com/bolsa-porta-celular-marca-nicole-lee-kira-amor-fuera-del-cuadro-mkp-23752446,https://www.liverpool.com.mx/tienda/?s=bolsa%20para%20celular//,,,https://super.walmart.com.mx/ip/bolsa-para-celular-t2go-varios-colores-1-pieza/00750303913654,32300000
buen fin iphone,Informational,590,25,0.13,1.00,5,1,0,45,21,https://www.coppel.com/buen-fin-celulares,https://www.liverpool.com.mx/tienda/buen-fin-celulares/catst44481163,,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,24700000
cabeza de cargador iphone,Informational,590,29,0.03,1.00,4,3,0,27,62,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda?s=cargador%20de%20iphone%20original,,https://www.bodegaaurrera.com.mx/ip/cargadores-y-baterias-portatiles/cargador-rapido-para-iphone-10w-carga-rapida-con-cable-de-datos-adaptador-de-corriente-enchufe-rapido-adecuado-para-la-cabeza-de-carga-rapida-de-telefono-apple/00530323092533,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cubo-cargador-apple-usb-c-20w-original/00019019888996,68
cable auxiliar para iphone,Informational,590,32,0.03,1.00,8,54,0,11,5,https://www.coppel.com/adaptador-generico-de-audio-auxiliar-3-5mm-para-iphone-mkp-42671014,https://www.liverpool.com.mx/tienda/pdp/cable-auxiliar-3.5-mm-mcdodo-a-lightning-de-1.8-m/1124239296,,https://www.bodegaaurrera.com.mx/ip/accesorios-tv-y-video/cable-auxiliar-para-iphone-adaptador-de-cable-de-audio-estereo-auxiliar-compatible-con-iphone-car-home-stereo-altavoz-auriculares-blanco-/00701213223986,https://www.walmart.com.mx/ip/barras-de-sonido-y-teatros-en-casa/cable-auxiliar-para-iphone-cable-auxiliar-de-3-5-mm-para-automovil-compatible-con-iphone-13-12-11-xs-xr-x-8-7-6-ipad-ipod-para-auto-estereo-domestico-altavoz-auriculares-compatible-con-todas-las-v/00082566516104,94
cable iphone lightning,Informational,590,32,0.12,1.00,8,2,0,0,14,https://www.coppel.com/l/cable-lightning,https://www.liverpool.com.mx/tienda/?s=cable%20lightning,,,https://www.walmart.com.mx/ip/accesorios-para-computadoras/cable-apple-cable-lightning-usb-a-1-m-blanco-veloz-mxly2am-a/00019019953482,45300000
cable lightning iphone,Informational,590,32,0.12,1.00,9,3,0,0,20,https://www.coppel.com/l/cable-lightning,https://www.liverpool.com.mx/tienda/?s=cable%20lightning,,,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/cables-para-iphone/264800_264823_264830,41500000
camara de celular,Commercial,590,32,0.02,0.12,25,0,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/top-5-de-los-celulares-con-mejor-camara-blg/,,,,,125000000
camara endoscopica para celular,Informational,590,28,0.04,1.00,6,0,0,7,3,https://www.coppel.com/camara-endoscopio-para-celular-con-luz-led-redlemon-mkp-43011001,,,https://www.bodegaaurrera.com.mx/ip/camara-endoscopio-para-celular-usb-led-luz-2-metros-levamdar-ll-2178/00931557793316,https://www.walmart.com.mx/ip/equipo-medico/camara-endoscopio-flexible-para-android-1-metro-redlemon-boroscopio-usb-otg-impermeable-negro/00750105644808,72
camaras de seguridad para casa conectadas al celular,Informational,590,32,0.10,1.00,7,26,0,28,17,https://www.coppel.com/camaras-de-seguridad,https://www.liverpool.com.mx/tienda/c%C3%A1maras-de-seguridad/catst16794266,,https://www.bodegaaurrera.com.mx/browse/casa-inteligente/seguridad/camaras-interiores-y-exteriores/1170003_1170006_1170015,https://www.walmart.com.mx/browse/casa-inteligente/seguridad/camaras-interiores-y-exteriores/1170003_1170006_1170015,2980000
cambio iphone ishop,"Informational, Transactional",590,31,0.00,0.05,50,45,0,0,0,https://www.coppel.com/apple,https://www.liverpool.com.mx/tienda/?s=iphone,,,,79
cargador celular,Informational,590,23,0.04,1.00,12,9,0,22,30,https://www.coppel.com/cargadores,https://www.liverpool.com.mx/tienda/cargadores-para-celular/catst47985085,,https://www.bodegaaurrera.com.mx/browse/celulares/cargadores-y-baterias-portatiles/cables-y-cargadores/264800_264835_264838,https://www.walmart.com.mx/browse/celulares/cargadores-y-baterias-portatiles/cables-y-cargadores/264800_264835_264838,50100000
cargador de carga rapida iphone,Informational,590,35,0.08,1.00,4,3,0,0,9,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda/?s=cargador%20de%20iphone%20original,,,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-carga-rapida-20w-cable-lightning-apple-para-iphone/00003660231202,86
cargador de celular para auto,Informational,590,23,0.04,1.00,7,0,0,80,66,https://www.coppel.com/cargadores-para-autos,,,https://www.bodegaaurrera.com.mx/ip/accesorios-y-herramientas/cargador-de-auto-4-en-1-para-celular-2xusb-tipo-a-2x-usb-tipo-c-blanco/00075555995139,https://super.walmart.com.mx/ip/cargador-para-auto-duplimax-con-1-puerto-usb-1-pza/00079664306910,18300000
cargador iphone 11 original precio,Commercial,590,33,0.03,1.00,6,2,0,8,9,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda/?s=cargador%20de%20iphone%20original,,https://www.bodegaaurrera.com.mx/ip/cargadores-y-baterias-portatiles/cargador-compatible-con-cable-usb-c-de-1-m-para-iphone-11-12-13/00032002510972,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-compatible-con-cable-usb-c-de-1-m-para-iphone-11-12-13/00032002510972,78
cargador lightning iphone,Informational,590,36,0.11,1.00,5,3,0,0,9,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda/?s=cargador%20de%20iphone%20original,,,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-carga-rapida-20w-cable-lightning-apple-para-iphone/00003660231202,75
cartera para celular,Informational,590,27,0.07,1.00,18,1,93,0,32,https://www.coppel.com/cartera-portacelular-18-forever-pr-3794122,https://www.liverpool.com.mx/tienda/?s=bolsa%20para%20celular//,https://www.chedraui.com.mx/terminos-y-condiciones/michedraui/programa,,https://www.walmart.com.mx/ip/accesorios-para-hombre/cartera-para-mujer-bolso-de-mano-multifuncional-para-telefono-movil-con-pantalla-tactil-bolso-de-mano-para-mujer-tarjetero-de-viaje-de-gran-capacidad-funda-para-pasaporte/00821131938383,31800000
case para iphone,Informational,590,30,0.20,1.00,8,5,0,14,13,https://www.coppel.com/fundas-y-carcasas-iphone,https://www.liverpool.com.mx/tienda/?s=fundas%20iphone//,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,172000000
caterpillar celular,Informational,590,32,0.03,1.00,35,97,0,0,7,https://www.coppel.com/telefonos-celulares-libres,https://www.liverpool.com.mx/tienda/tenis-de-hombre/catst7543627/page-2,,,https://www.walmart.com.mx/ip/smartphones/smartphone-caterpillar-s60-32-gb-negro-desbloqueado/00008536983026,3830000
celular 16gb ram,Informational,590,31,0.07,1.00,19,17,0,18,6,https://www.coppel.com/telefonos-celulares-libres,https://www.liverpool.com.mx/tienda/?s=16%20gb%20ram,,https://www.bodegaaurrera.com.mx/ip/smartphones/celular-ulefone-power-armor-16s-16gb-ram-128gb-rom-naranja/00046323387652,https://www.walmart.com.mx/ip/smartphones/celular-asus-rog-5s-6-8-amoled-snapdragon-888-256gb-16gb-ram-dual-sim-zs676ks-negro/00065163748430,18700000
celular 8 ram,Informational,590,31,0.07,1.00,30,29,0,25,7,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,https://www.walmart.com.mx/ip/smartphones/celular-xiaomi-redmi-k40-pro-5g-dual-sim-8gb-ram-128gb-blanco/00693417773218,97
celular 8gb ram 256gb,Informational,590,27,0.08,1.00,7,52,15,25,14,https://www.coppel.com/celular-xiaomi-poco-f3-5g-dual-sim-8gb-ram-256gb-rom-color-negro-reacondicionado-mkp-10423113,https://www.liverpool.com.mx/tienda/celulares/cat5150024,https://www.chedraui.com.mx/celular-honor-200-lite-8gb-ram-256gb-azul-estelar-desbloqueado-6014305/p,https://www.bodegaaurrera.com.mx/browse/celulares/smartphones/celulares-desbloqueados/264800_264807_264808,https://www.walmart.com.mx/ip/smartphones/celular-xiaomi-redmi-k40-pro-5g-dual-sim-8gb-ram-128gb-blanco/00693417773218,89
celular caro,Informational,590,31,0.06,1.00,36,0,0,0,0,https://www.coppel.com/celulares,,,,,71800000
celular city,Commercial,590,32,0.00,0.07,73,60,0,0,0,https://www.coppel.com/equipos-celulares,https://www.liverpool.com.mx/tienda/home,,,,261000000
celular con 4 camaras,Informational,590,31,0.00,0.99,17,0,0,48,3,https://www.coppel.com/celulares-samsung,,,https://www.bodegaaurrera.com.mx/ip/smartphones/celular-motorola-one-zoom-4gb-128gb-6-4-fhd-4-camaras-48mpx-motorola-one-zoom/00070452110795,https://www.walmart.com.mx/ip/smartphones/celular-motorola-one-fusion-4gb-128gb-6-5-hd-4-camaras-48mp-motorola-one-fusion/00070452110912,121000000
celular con bocinas jbl,Informational,590,32,0.08,0.98,15,27,0,0,25,https://www.coppel.com/jbl-bocinas,https://www.liverpool.com.mx/tienda/bocinas/catst16778924,,,https://www.walmart.com.mx/browse/lp-audio/marcas-audio/audio-jbl/350056_2180001_2180002,2650000
celular cuadrado,Informational,590,33,0.04,0.72,40,0,0,0,52,https://www.coppel.com/celulares-samsung,,,,https://www.walmart.com.mx/ip/accesorios-celulares/soporte-para-cuadrado-silicona-con-succion-multifuncional-celular/00064810037182,69800000
celular de 3 camaras,Informational,590,30,0.09,1.00,19,0,0,0,31,https://www.coppel.com/celulares-samsung,,,,https://www.walmart.com.mx/ip/smartphones/celular-huawei-y7p-4gb-64gb-6-39-triple-camara-48mp-dual-sim-huawei-y7p/00070452112245,76900000
celular de 4 camaras,Informational,590,31,0.00,0.89,19,0,0,44,3,https://www.coppel.com/celulares-samsung,,,https://www.bodegaaurrera.com.mx/ip/smartphones/celular-motorola-one-zoom-4gb-128gb-6-4-fhd-4-camaras-48mpx/00070452110795,https://www.walmart.com.mx/ip/smartphones/celular-motorola-one-fusion-4gb-128gb-6-5-hd-4-camaras-48mp-motorola-one-fusion/00070452110912,53300000
celular flexible,Informational,590,32,0.07,0.99,9,0,0,23,0,https://www.coppel.com/celulares,,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,,32600000
celular honor x7a,"Informational, Transactional",590,33,0.08,1.00,10,25,0,0,12,https://www.coppel.com/telcel-honor-x7a-128-gb-plata-pm-2052923,https://www.liverpool.com.mx/tienda/pdp/honor-x7a-lcd-tft-6.7-pulgadas-desbloqueado/1131730415,,,https://www.walmart.com.mx/ip/smartphones/smartphone-honor-x7a-128-gb-negro-desbloqueado/00693652081875,1200000
celular honor x9,"Informational, Transactional",590,36,0.06,1.00,34,9,0,11,14,https://www.coppel.com/movistar-honor-9x-128-gb-azul-pm-2428083,https://www.liverpool.com.mx/tienda?s=honor+9x//,,https://www.bodegaaurrera.com.mx/ip/smartphones/honor-x9-negro-128gb-8gb-nfc-camara-64mp-dual/00571412205222,https://www.walmart.com.mx/ip/celulares/smartphones/celulares-desbloqueados/smartphone-honor-x9-128-gb-plata-desbloqueado/00693652080826,2440000
celular linux,"Commercial, Informational",590,33,0.00,0.07,91,0,0,0,0,https://www.coppel.com/telefonos-celulares-libres,,,,,163000000
celular magic,Informational,590,39,0.04,1.00,8,28,20,0,25,https://www.coppel.com/celular-honor-magic-7-lite-liberado-512-gb-morado-audifonos-pm-2791543,https://www.liverpool.com.mx/tienda/celulares/cat5150024,https://www.chedraui.com.mx/celular-honor-magic-6-lite-8256-gb-plata-desbloqueado-6012274/p,,https://www.walmart.com.mx/ip/smartphones/smartphone-honor-magic-6-lite-5g-8gb-ram-256gb-rom-verde-desbloqueado/00750305333300,96600000
celular mas nuevo de samsung,"Informational, Transactional",590,62,0.05,1.00,10,6,0,20,30,https://www.coppel.com/celulares-samsung,https://www.liverpool.com.mx/tienda/?s=celular%20samsung,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-samsung/320061_320132_320134,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-samsung/320061_320132_320134,586000000
celular moto z2,Navigational,590,36,0.02,0.12,59,0,0,26,14,https://www.coppel.com/motorola,,,https://www.bodegaaurrera.com.mx/ip/smartphones/celular-motorola-moto-z2-play-5-5-pulgadas-64gb-4gb-xt1710-gris-desbloqueado/00694768156046,https://super.walmart.com.mx/ip/smartphone-motorola-moto-z2-force-64-gb-negro-desbloqueado/00072375512337,370000
celular oppo a57,"Informational, Transactional",590,32,0.04,0.82,5,40,15,11,8,https://www.coppel.com/telcel-oppo-a57-128-gb-negro-pm-2929733,https://www.liverpool.com.mx/tienda/pdp/oppo-a57-ips-6.5-pulgadas-at&t/1126282367,https://www.chedraui.com.mx/celular-oppo-a57-64gb-verde-telcel-3758574/p,https://www.bodegaaurrera.com.mx/ip/smartphones/celular-oppo-a57-33w-5000mah-4-128gbs-latino-liberado-oppo-a57/00693216931876,https://www.walmart.com.mx/ip/smartphones/smartphone-oppo-a57-128gb-4gb-negro/00693216931870,95
celular panasonic mini,Informational,590,31,0.00,0.01,42,38,0,0,0,https://www.coppel.com/pantallas-led,https://www.liverpool.com.mx/tienda?s=telefonos+panasonic,,,,85
celular redmi note 9,"Navigational, Transactional",590,34,0.05,0.90,7,13,0,24,8,https://www.coppel.com/celular-celular-xiaomi-redmi-note-9-pro-dual-sim-6gb-ram-azul-reacondicionado-mkp-10422529,https://www.liverpool.com.mx/tienda/?s=xiaomi%20redmi%20note%209%20pro,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-xiaomi-redmi-note-9-dual-128gb-desbloqueado-blanco-xiaomi-note-9/00694105964340,https://www.walmart.com.mx/ip/smartphones/xiaomi-redmi-note-9-4-gb-ram-128-gb-48-mp-quad-camara-hotshot-5020-mah-bateria-6-53-fhd-lte-smartphone-desbloqueado-de-fabrica-version-internacional-polar-white-xiaomi-redmi-note-9-polar-white/00694105964680,119000000
celular samsung a14,"Informational, Transactional",590,44,0.07,1.00,6,44,18,0,11,https://www.coppel.com/celular-samsung-desbloqueado-galaxy-a14-5g-128-gb-verde-pm-2985053,https://www.liverpool.com.mx/tienda/celulares/cat5150024,https://www.chedraui.com.mx/celular-samsung-galaxy-a14-5g-128gb-negro-telcel-3774862/p,,https://www.walmart.com.mx/ip/smartphones/smartphone-galaxy-a14-4g-128gb-rom-4gb-ram-negro/00880609477093,27300000
celular samsung s20,Informational,590,40,0.04,1.00,9,4,0,20,15,https://www.coppel.com/celulares-samsung,https://www.liverpool.com.mx/tienda/?s=samsung%20galaxy%20s20//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-galaxy-s20-128gb-negro-samsung-galaxy-desbloqueado/00088727639878,https://www.walmart.com.mx/ip/smartphones/smartphone-galaxy-s20-128gb-gris-samsung-galaxy-desbloqueado/00088727639810,92500000
celular samsung s23,Informational,590,31,0.06,1.00,6,3,0,0,11,https://www.coppel.com/celular-samsung-desbloqueado-galaxy-s23-128-gb-negro-pm-2496033,https://www.liverpool.com.mx/tienda/?s=samsung%20galaxy%20s23,,,https://www.walmart.com.mx/search?q=samsung+s23&z=1,39500000
celular samsung s23 ultra,"Informational, Transactional",590,31,0.07,1.00,5,11,0,0,15,https://www.coppel.com/celular-samsung-galaxy-s23-ultra-5g-256-gb-12-gb-color-negro-mkp-74621574,https://www.liverpool.com.mx/tienda/pdp/samsung-galaxy-s23-ultra-dynamic-amoled-2x-6.8-pulgadas-desbloqueado-reacondicionado/99968527234,,,https://www.walmart.com.mx/ip/smartphones/smartphone-samsung-galaxy-s23-ultra-256gb-12ram-dual-sim-negro/00880609469582,40500000
celular samsung s24 ultra,"Informational, Transactional",590,40,0.11,1.00,5,12,0,50,17,https://www.coppel.com/samsung-galaxy-s24-ultra-12gb-512gb-5g-negro-mkp-74623958,https://www.liverpool.com.mx/tienda/pdp/samsung-galaxy-s24-ultra-dynamic-amoled-2x-6.8-pulgadas-desbloqueado/1148074235,,https://www.bodegaaurrera.com.mx/browse/celulares/destacados-celulares/destacados-celulares/264800_310034_310035,https://www.walmart.com.mx/search?q=samsung+s24+ultra&z=1,59700000
celular tablet,Informational,590,31,0.07,1.00,4,7,0,5,17,https://www.coppel.com/tablets,https://www.liverpool.com.mx/tienda/tablets/cat580066,,https://www.bodegaaurrera.com.mx/browse/computadoras/tablets/todas-las-tablets/264880_264895_264896,https://www.walmart.com.mx/browse/computadoras/tablets/todas-las-tablets/264880_264895_264896,1120000000
celular tech pad,Informational,590,27,0.03,0.46,21,25,0,8,11,https://www.coppel.com/l/tech-pad,https://www.liverpool.com.mx/tienda/?s=techpad,,https://despensa.bodegaaurrera.com.mx/ip/smartphone-techpad-x-11-blanco-64-gb-desbloqueado/00073637290003,https://super.walmart.com.mx/ip/smartphone-tech-pad-smart-k-4g-4gb-rom-desbloqueado-bait-varios-colores-1-pieza/00072920816466,88
celular usado,Informational,590,21,0.12,1.00,7,0,0,0,29,https://www.coppel.com/trade-in,,,,https://www.walmart.com.mx/content/celulares/264800,135000000
celular vios,Informational,590,30,0.15,0.48,28,0,0,0,0,https://www.coppel.com/tablets,,,,,67
celular vivo v25e,"Informational, Transactional",590,29,0.06,0.38,6,15,0,0,0,https://www.coppel.com/celular-vivo-desbloqueado-v25e-256-gb-violeta-pm-2066623,https://www.liverpool.com.mx/tienda/pdp/vivo-v25e-amoled-6.6-pulgadas-telcel-nuevo/1136186471,,,,71
celular vivo v40,Informational,590,44,0.04,1.00,9,11,0,97,0,https://www.coppel.com/celular-vivo-desbloqueado-v40-lite-256-gb-negro-pm-2626423,https://www.liverpool.com.mx/tienda/pdp/vivo-v40-amoled-6.7-pulgadas-telcel/1161982173,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,,2560000
celular whatsapp web,Informational,590,49,0.00,0.00,67,76,0,0,0,https://www.coppel.com/whatsapp,https://www.liverpool.com.mx/tienda/paginas/whatsapp,,,,430000000
celular xiaomi redmi note 11,Informational,590,40,0.08,1.00,8,13,0,15,18,https://www.coppel.com/celular-xiaomi-desbloqueado-redmi-note-11-128-gb-azul-pm-2702013,https://www.liverpool.com.mx/tienda/?s=xiaomi%20redmi%20note%2011%20pro//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-xiaomi-redmi-redmi-note-11-6gb-ram-128gb-rom-gris-desbloqueado/00693417776715,https://www.walmart.com.mx/ip/smartphones/smartphone-xiaomi-redmi-note-11-4gb-ram-128gb-rom-gris-desbloqueado/00693417776717,176000000
celulares 2x1,Informational,590,26,0.06,1.00,10,22,68,12,5,https://www.coppel.com/celulares-hot-sale,https://www.liverpool.com.mx/tienda/hot-sale-celulares/catst52375756,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/browse/eventos/promociones-bodega-tecnologia/promociones-celulares/490004_1260068_1260072,https://www.walmart.com.mx/browse/lp-celulares/brackets-de-precios/celulares-precio-dos/320061_320145_320150,97
celulares a credito sin buro,"Commercial, Informational",590,22,0.37,1.00,50,59,0,0,0,https://www.coppel.com/tu-credito-coppel,https://micredito.liverpool.com.mx/,,,,201000
celulares baratos con whatsapp,Informational,590,29,0.05,1.00,6,0,15,19,8,https://www.coppel.com/celular-economico,,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,17400000
celulares basicos,Informational,590,24,0.04,1.00,7,0,8,30,5,https://prodperflive-zuum.coppel.com/celulares-b%C3%A1sicos,,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,32500000
celulares caros,Informational,590,31,0.06,1.00,8,36,0,0,0,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,,,8920000
celulares caterpillar,Informational,590,19,0.02,1.00,42,0,0,0,8,https://www.coppel.com/telefonos-celulares-libres,,,,https://www.walmart.com.mx/ip/smartphones/smartphone-caterpillar-s60-32-gb-negro-desbloqueado/00008536983026,1920000
celulares chiquitos,Informational,590,33,0.06,1.00,12,8,0,71,16,https://www.coppel.com/celulares-baratos,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/browse/linea-blanca/refrigeradores-y-congeladores/refrigeradores/265699_265710_265712,https://www.walmart.com.mx/content/celulares/264800,77
celulares con 512 gb de memoria interna,Informational,590,31,0.04,1.00,14,0,0,32,37,https://www.coppel.com/telefonos-celulares-libres,,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,https://www.walmart.com.mx/browse/celulares/smartphones/celulares-desbloqueados/264800_264807_264808,2980000
celulares con camara profesional,"Commercial, Informational",590,47,0.18,1.00,45,56,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/top-5-de-los-celulares-con-mejor-camara-blg/,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,,,9970000
celulares con lapiz,"Commercial, Informational",590,31,0.03,0.99,20,62,0,34,32,https://www.coppel.com/plumas-tactiles,https://www.liverpool.com.mx/tienda/tablets/cat580066,,https://www.bodegaaurrera.com.mx/ip/tablets/lapiz-optico-stylus-pen-lapiz-de-pantalla-tactil-universal-lapiz-de-capacitancia-de-doble-cabeza-lapiz-capacitivo-duradero-portatil-para-telefono-tableta-negro-abanopi-lapiz-optico/00077292419767,https://www.walmart.com.mx/ip/tablets/lapiz-optico-para-telefono-movil/00618248400195,3780000
celulares de los 2000,Informational,590,31,0.00,0.00,8,21,0,19,14,https://www.coppel.com/celulares-de-2000-pesos,https://www.liverpool.com.mx/tienda/?s=celulares,,https://www.bodegaaurrera.com.mx/browse/celulares/smartphones/celulares-desbloqueados/264800_264807_264808,https://www.walmart.com.mx/content/celulares/264800,82400000
celulares del 2000 al 2010,Informational,590,30,0.00,0.00,68,0,0,0,0,https://www.coppel.com/baterias-para-auto,,,,,13200000
celulares doble sim samsung,"Commercial, Informational",590,28,0.06,1.00,30,5,0,38,19,https://www.coppel.com/celulares-samsung,https://www.liverpool.com.mx/tienda/?s=galaxy%20s8%20plus%20dual%20sim//,,https://www.bodegaaurrera.com.mx/browse/celulares/destacados-celulares/destacados-celulares/264800_310034_310035,https://www.walmart.com.mx/ip/smartphones/celular-liberado-dual-sim-version-internacional-samsung-g950-fd/00880608871069,10100000
celulares flexibles,Informational,590,33,0.07,0.99,24,0,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/innovacion-del-celular-plegable-bcel/,,,,,3590000
celulares mejores que el iphone,Informational,590,38,0.13,0.56,23,27,0,37,32,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/?s=iphone,,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,37600000
celulares motorola de gama alta,Informational,590,40,0.03,1.00,9,50,0,22,19,https://www.coppel.com/celulares-motorola,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-motorola/320061_320132_320136,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-motorola/320061_320132_320136,115000000
celulares para juegos baratos,Informational,590,33,0.03,1.00,14,65,0,36,33,https://www.coppel.com/celular-gamer,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,9560000
